datetime,C_B1,C_B2,C_B3,C_B4,C_B5,L_B1,L_B2,L_B3,L_B4,L_B5,W_B1,W_B2,W_B3,W_B4,W_B5,LW_B1,LW_B2,LW_B3,LW_B4,LW_B5
1/1/2006 23:00,0.00915035,-0.010867,0.0286338,0.0131257,0.006326,-0.0216075,-0.00750473,0.0354066,-0.00518623,-0.00366603,0.00231748,-0.0189822,,0.0583297,0.00109862,0.000805078,0.0154445,0.028588,-0.00992988,0.0154025
1/2/2006 0:00,0.00710614,-0.0124528,0.0337135,0.0233985,0.00918489,-0.0140652,-0.00984496,0.0458083,0.00788868,0.000861353,0.0134122,-0.00767847,,0.0534681,0.00580201,0.0150978,0.0107991,0.0237514,-0.0028202,0.0239363
1/2/2006 1:00,0.0438406,0.0024932,0.0563163,0.0291811,0.0188468,0.00956232,0.00265336,0.0580681,0.0288043,0.02156,0.0333628,0.00988316,,0.0663542,0.0482506,0.0224475,0.0220575,0.0493592,-0.00142841,0.0264082
1/2/2006 2:00,0.0394898,0.0175853,0.0627979,0.0373404,0.0235507,0.00717191,0.0137741,0.0722577,0.0170606,0.0146696,0.0376095,0.0198673,,0.0805443,0.0449951,0.0354033,0.0386284,0.0631505,0.0216336,0.0303394
1/2/2006 3:00,0.052787,0.01813,0.0664098,0.0463626,0.0307695,0.0131641,0.0169886,0.0689277,0.0253033,0.0315805,0.0422754,0.0210617,,0.0907307,0.0466872,0.0328791,0.0459131,0.0690592,0.0278653,0.0523467
1/2/2006 4:00,0.0475762,0.0217589,0.0678452,0.0419793,0.0230764,0.0137614,0.0373646,0.0812089,0.013502,0.0451976,0.0459221,0.023047,,0.0816162,0.0458234,,0.0555085,0.071864,0.0403239,0.0466422
1/2/2006 5:00,0.0500911,0.0267223,0.0751699,0.0501202,0.0333803,0.0274169,0.0267702,0.0609879,0.0332074,0.0307652,0.0507203,0.020112,,0.0571274,0.0481903,0.0354425,0.0523868,0.064939,0.0408901,0.0432233
1/2/2006 6:00,0.0592127,0.0264485,0.0704805,0.0453382,0.0318111,0.0154627,0.0231413,0.0745999,0.029545,0.0464337,0.0496518,0.0296556,,0.0746008,0.0661079,0.0397971,0.0510863,0.0832791,0.0294419,0.0554134
1/2/2006 7:00,0.0535198,0.0332697,0.0839007,0.0503396,0.039622,0.0184771,0.0338928,0.0785859,0.032922,0.0524431,0.0533385,0.0330962,,0.0868595,0.0595357,0.0461417,0.0519252,0.0634868,0.0323661,0.05307
1/2/2006 8:00,0.0310725,0.0302529,0.0351812,0.0474223,0.0301682,0.0245014,0.0313859,0.0655072,0.0484153,0.0567187,0.0285686,0.0142158,,0.0690514,0.0507197,0.0399232,0.0544077,0.0611345,0.0642699,0.0634248
